permno,adate,qdate,public_date,npm,de_ratio,curr_ratio,ptb,TICKER
11850,1984-12-31,1985-09-30,1986-01-31,0.052,1.263,1.063,1.348,XON
11850,1985-12-31,1985-12-31,1986-02-28,0.056,1.329,0.909,0.960,XON
11850,1985-12-31,1985-12-31,1986-03-31,0.056,1.329,0.909,1.025,XON
11850,1985-12-31,1985-12-31,1986-04-30,0.056,1.329,0.909,1.041,XON
11850,1985-12-31,1986-03-31,1986-05-31,0.062,1.315,0.950,1.439,XON
11850,1985-12-31,1986-03-31,1986-06-30,0.062,1.315,0.950,1.463,XON
11850,1985-12-31,1986-03-31,1986-07-31,0.062,1.315,0.950,1.460,XON
11850,1985-12-31,1986-06-30,1986-08-31,0.070,1.289,0.914,1.617,XON
11850,1985-12-31,1986-06-30,1986-09-30,0.070,1.289,0.914,1.575,XON
11850,1985-12-31,1986-06-30,1986-10-31,0.070,1.289,0.914,1.593,XON
11850,1985-12-31,1986-09-30,1986-11-30,0.075,1.251,0.925,1.597,XON
11850,1985-12-31,1986-09-30,1986-12-31,0.075,1.251,0.925,1.608,XON
11850,1985-12-31,1986-09-30,1987-01-31,0.075,1.251,0.925,1.898,XON
11850,1986-12-31,1986-12-31,1987-02-28,0.077,1.122,1.072,1.314,XON
11850,1986-12-31,1986-12-31,1987-03-31,0.077,1.122,1.072,1.437,XON
11850,1986-12-31,1986-12-31,1987-04-30,0.077,1.122,1.072,1.452,XON
11850,1986-12-31,1987-03-31,1987-05-31,0.070,1.182,1.029,1.910,XON
11850,1986-12-31,1987-03-31,1987-06-30,0.070,1.182,1.029,2.034,XON
11850,1986-12-31,1987-03-31,1987-07-31,0.070,1.182,1.029,2.053,XON
11850,1986-12-31,1987-06-30,1987-08-31,0.069,1.177,1.080,2.181,XON
11850,1986-12-31,1987-06-30,1987-09-30,0.069,1.177,1.080,2.129,XON
11850,1986-12-31,1987-06-30,1987-10-31,0.069,1.177,1.080,1.866,XON
11850,1986-12-31,1987-09-30,1987-11-30,0.065,1.168,1.099,1.626,XON
11850,1986-12-31,1987-09-30,1987-12-31,0.065,1.168,1.099,1.687,XON
11850,1986-12-31,1987-09-30,1988-01-31,0.065,1.168,1.099,1.859,XON
11850,1987-12-31,1987-12-31,1988-02-29,0.063,1.149,1.006,1.337,XON
11850,1987-12-31,1987-12-31,1988-03-31,0.063,1.149,1.006,1.317,XON
11850,1987-12-31,1987-12-31,1988-04-30,0.063,1.149,1.006,1.407,XON
11850,1987-12-31,1988-03-31,1988-05-31,0.066,1.173,1.058,1.925,XON
11850,1987-12-31,1988-03-31,1988-06-30,0.066,1.173,1.058,1.877,XON
11850,1987-12-31,1988-03-31,1988-07-31,0.066,1.173,1.058,1.960,XON
11850,1987-12-31,1988-06-30,1988-08-31,0.066,1.181,1.024,1.996,XON
11850,1987-12-31,1988-06-30,1988-09-30,0.066,1.181,1.024,1.921,XON
11850,1987-12-31,1988-06-30,1988-10-31,0.066,1.181,1.024,1.921,XON
11850,1987-12-31,1988-09-30,1988-11-30,0.068,1.211,0.980,1.910,XON
11850,1987-12-31,1988-09-30,1988-12-31,0.068,1.211,0.980,1.843,XON
11850,1987-12-31,1988-09-30,1989-01-31,0.068,1.211,0.980,1.943,XON
11850,1988-12-31,1988-12-31,1989-02-28,0.066,1.267,0.849,1.316,XON
11850,1988-12-31,1988-12-31,1989-03-31,0.066,1.267,0.849,1.296,XON
11850,1988-12-31,1988-12-31,1989-04-30,0.066,1.267,0.849,1.274,XON
11850,1988-12-31,1989-03-31,1989-05-31,0.064,1.320,0.878,1.789,XON
11850,1988-12-31,1989-03-31,1989-06-30,0.064,1.320,0.878,1.804,XON
11850,1988-12-31,1989-03-31,1989-07-31,0.064,1.320,0.878,1.876,XON
11850,1988-12-31,1989-06-30,1989-08-31,0.049,1.417,0.824,1.901,XON
11850,1988-12-31,1989-06-30,1989-09-30,0.049,1.417,0.824,1.945,XON
11850,1988-12-31,1989-06-30,1989-10-31,0.049,1.417,0.824,1.999,XON
11850,1988-12-31,1989-09-30,1989-11-30,0.046,1.506,0.797,2.026,XON
11850,1988-12-31,1989-09-30,1989-12-31,0.046,1.506,0.797,2.106,XON
11850,1988-12-31,1989-09-30,1990-01-31,0.046,1.506,0.797,1.979,XON
11850,1989-12-31,1989-12-31,1990-02-28,0.034,1.604,0.754,1.414,XON
11850,1989-12-31,1989-12-31,1990-03-31,0.034,1.604,0.754,1.386,XON
11850,1989-12-31,1989-12-31,1990-04-30,0.034,1.604,0.754,1.360,XON
11850,1989-12-31,1990-03-31,1990-05-31,0.033,1.657,0.767,1.965,XON
11850,1989-12-31,1990-03-31,1990-06-30,0.033,1.657,0.767,1.960,XON
11850,1989-12-31,1990-03-31,1990-07-31,0.033,1.657,0.767,2.124,XON
11850,1989-12-31,1990-06-30,1990-08-31,0.043,1.663,0.767,2.005,XON
11850,1989-12-31,1990-06-30,1990-09-30,0.043,1.663,0.767,1.960,XON
11850,1989-12-31,1990-06-30,1990-10-31,0.043,1.663,0.767,1.960,XON
11850,1989-12-31,1990-09-30,1990-11-30,0.040,1.667,0.756,1.960,XON
11850,1989-12-31,1990-09-30,1990-12-31,0.040,1.667,0.756,2.002,XON
11850,1989-12-31,1990-09-30,1991-01-31,0.040,1.667,0.756,1.997,XON
11850,1990-12-31,1990-12-31,1991-02-28,0.047,1.522,0.763,1.538,XON
11850,1990-12-31,1990-12-31,1991-03-31,0.047,1.522,0.763,1.631,XON
11850,1990-12-31,1990-12-31,1991-04-30,0.047,1.522,0.763,1.658,XON
11850,1990-12-31,1991-03-31,1991-05-31,0.055,1.602,0.775,2.195,XON
11850,1990-12-31,1991-03-31,1991-06-30,0.055,1.602,0.775,2.190,XON
11850,1990-12-31,1991-03-31,1991-07-31,0.055,1.602,0.775,2.237,XON
11850,1990-12-31,1991-06-30,1991-08-31,0.055,1.564,0.793,2.211,XON
11850,1990-12-31,1991-06-30,1991-09-30,0.055,1.564,0.793,2.257,XON
