permno,adate,qdate,public_date,evm,pe_exi,gpm,roe,capital_ratio,debt_ebitda,PEG_trailing,divyield,TICKER
62092,2008-12-31,2009-09-30,2010-01-31,9.543,22.623,0.430,0.051,0.118,1.087,1.019,,TMO
62092,2009-12-31,2009-12-31,2010-02-28,11.383,24.264,0.477,0.050,0.118,1.145,0.551,,TMO
62092,2009-12-31,2009-12-31,2010-03-31,11.383,25.592,0.477,0.050,0.118,1.145,0.581,,TMO
62092,2009-12-31,2009-12-31,2010-04-30,11.383,27.502,0.477,0.050,0.118,1.145,0.624,,TMO
62092,2009-12-31,2010-03-31,2010-05-31,10.364,23.557,0.433,0.054,0.115,1.036,0.638,,TMO
62092,2009-12-31,2010-03-31,2010-06-30,10.364,22.195,0.433,0.054,0.115,1.036,0.601,,TMO
62092,2009-12-31,2010-03-31,2010-07-31,10.364,20.299,0.433,0.054,0.115,1.036,0.549,,TMO
62092,2009-12-31,2010-06-30,2010-08-31,10.641,18.555,0.434,0.055,0.115,1.033,0.579,,TMO
62092,2009-12-31,2010-06-30,2010-09-30,10.641,21.093,0.434,0.055,0.115,1.033,0.658,,TMO
62092,2009-12-31,2010-06-30,2010-10-31,10.641,22.652,0.434,0.055,0.115,1.033,0.707,,TMO
62092,2009-12-31,2010-09-30,2010-11-30,10.733,21.460,0.435,0.057,0.116,1.042,0.874,,TMO
62092,2009-12-31,2010-09-30,2010-12-31,10.733,23.359,0.435,0.057,0.116,1.042,0.952,,TMO
62092,2009-12-31,2010-09-30,2011-01-31,10.733,24.165,0.435,0.057,0.116,1.042,0.985,,TMO
62092,2010-12-31,2010-12-31,2011-02-28,11.284,22.151,0.484,0.060,0.117,1.013,1.549,,TMO
62092,2010-12-31,2010-12-31,2011-03-31,11.284,22.044,0.484,0.060,0.117,1.013,1.542,,TMO
62092,2010-12-31,2010-12-31,2011-04-30,11.284,23.806,0.484,0.060,0.117,1.013,1.665,,TMO
62092,2010-12-31,2011-03-31,2011-05-31,11.294,25.870,0.440,0.059,0.114,1.308,2.949,,TMO
62092,2010-12-31,2011-03-31,2011-06-30,11.294,25.451,0.440,0.059,0.114,1.308,2.901,,TMO
62092,2010-12-31,2011-03-31,2011-07-31,11.294,23.751,0.440,0.059,0.114,1.308,2.707,,TMO
